# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
168.8232	1.7791	1.6253
168.9756	1.7641	1.6254
169.1280	1.7500	1.6255
169.2804	1.7356	1.6256
169.4328	1.7301	1.6257
169.5852	1.7279	1.6258
169.7376	1.7248	1.6259
169.8900	1.7295	1.6260
170.0424	1.7328	1.6261
170.1948	1.7422	1.6262
170.3472	1.7726	1.6263
170.4996	1.7901	1.6264
170.6520	1.8156	1.6265
170.8044	1.8229	1.6266
170.9568	1.8248	1.6267
171.1092	1.8214	1.6268
171.2616	1.8098	1.6269
171.4140	1.8138	1.6270
171.5664	1.8056	1.6271
171.7188	1.7968	1.6272
171.8712	1.7976	1.6273
172.0236	1.7922	1.6274
172.1760	1.7900	1.6275
172.3284	1.7857	1.6276
172.4808	1.7665	1.6277
172.6332	1.7567	1.6278
172.7856	1.7532	1.6279
172.9380	1.7542	1.6280
173.0904	1.7595	1.6281
173.2428	1.7692	1.6282
173.3952	1.7756	1.6283
173.5476	1.7761	1.6284
173.7000	1.7719	1.6285
173.8524	1.7751	1.6286
174.0048	1.7751	1.6287
174.1572	1.7801	1.6288
174.3096	1.7825	1.6289
174.4620	1.7864	1.6290
174.6144	1.7798	1.6291
174.7668	1.7749	1.6292
174.9192	1.7710	1.6293
175.0716	1.7674	1.6294
175.2240	1.7658	1.6296
175.3764	1.7631	1.6297
175.5288	1.7600	1.6298
175.6812	1.7600	1.6299
175.8336	1.7617	1.6300
175.9860	1.7659	1.6301
176.1384	1.7764	1.6302
176.2908	1.7834	1.6303
176.4432	1.7961	1.6304
176.5956	1.8085	1.6305
176.7480	1.8082	1.6306
176.9004	1.8176	1.6307
177.0528	1.8190	1.6308
177.2052	1.8162	1.6309
177.3576	1.8162	1.6310
177.5100	1.8179	1.6311
177.6624	1.8199	1.6312
177.8148	1.8154	1.6313
177.9672	1.8022	1.6314
178.1196	1.7836	1.6315
178.2720	1.7808	1.6316
178.4244	1.7826	1.6317
178.5768	1.7985	1.6318
178.7292	1.7981	1.6319
178.8816	1.8000	1.6320
179.0340	1.8039	1.6321
179.1864	1.8140	1.6322
179.3388	1.8350	1.6323
179.4912	1.8439	1.6324
179.6436	1.8511	1.6325
179.7960	1.8534	1.6326
179.9484	1.8289	1.6327
180.1008	1.8085	1.6328
180.2532	1.7895	1.6330
180.4056	1.7813	1.6331
180.5580	1.7813	1.6332
180.7104	1.7801	1.6333
180.8628	1.7780	1.6334
181.0152	1.7714	1.6335
181.1676	1.7742	1.6336
181.3200	1.7899	1.6337
181.4724	1.7982	1.6338
181.6248	1.8115	1.6339
