# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
186.7410	0.0049	204.7160
186.7910	0.0049	197.3730
186.8410	0.0045	197.2010
186.8910	0.0045	189.1980
186.9410	0.0045	188.7460
186.9910	0.0045	184.6160
187.0410	0.0046	181.6060
187.0910	0.0047	178.2740
187.1410	0.0047	177.9040
187.1910	0.0047	177.9040
187.2410	0.0047	177.9040
187.2910	0.0047	177.9040
187.3410	0.0047	188.1650
187.3910	0.0047	195.2010
187.4410	0.0049	195.4940
187.4910	0.0049	196.3020
187.5410	0.0049	197.5870
187.5910	0.0049	201.0080
187.6410	0.0053	208.7850
187.6910	0.0053	208.8250
187.7410	0.0053	208.8600
187.7910	0.0053	208.8600
187.8410	0.0055	208.8600
187.8910	0.0076	208.8600
187.9410	0.0078	202.5380
187.9910	0.0080	201.8940
188.0410	0.0080	201.8940
188.0910	0.0080	201.8940
188.1410	0.0082	201.8940
188.1910	0.0094	201.8940
188.2410	0.0101	201.8940
188.2910	0.0110	200.5580
188.3410	0.0112	198.1640
188.3910	0.0116	194.2260
188.4410	0.0116	193.0320
188.4910	0.0116	193.0320
188.5410	0.0116	193.0320
188.5910	0.0116	193.0320
188.6410	0.0116	195.8230
188.6910	0.0116	195.8230
188.7410	0.0116	195.8230
188.7910	0.0116	195.8230
188.8410	0.0116	195.8230
188.8910	0.0116	195.8230
188.9410	0.0116	201.5090
188.9910	0.0116	203.1140
189.0410	0.0116	205.3290
189.0910	0.0116	205.3290
189.1410	0.0116	206.8680
189.1910	0.0116	206.8680
189.2410	0.0115	206.8680
189.2910	0.0115	206.8680
189.3410	0.0115	206.8680
189.3910	0.0111	206.8680
189.4410	0.0108	204.2650
189.4910	0.0108	204.2650
189.5410	0.0108	204.2650
189.5910	0.0108	204.2650
189.6410	0.0108	204.3280
189.6910	0.0108	204.7480
189.7410	0.0108	205.5660
189.7910	0.0108	205.5730
189.8410	0.0108	205.5790
189.8910	0.0108	205.5860
189.9410	0.0108	205.5920
189.9910	0.0107	206.5430
190.0410	0.0106	206.6500
190.0910	0.0106	206.7430
190.1410	0.0106	206.7920
190.1910	0.0106	206.8370
190.2410	0.0106	207.1570
190.2910	0.0106	208.1940
190.3410	0.0106	208.3800
190.3910	0.0106	208.3800
190.4410	0.0106	208.3800
190.4910	0.0106	208.3800
190.5410	0.0105	208.3800
190.5910	0.0103	208.3800
190.6410	0.0102	208.3800
190.6910	0.0102	208.3800
190.7410	0.0102	206.9860
190.7910	0.0102	206.7000
190.8410	0.0102	206.3050
190.8910	0.0102	205.8320
190.9410	0.0102	198.6150
190.9910	0.0102	191.7600
191.0410	0.0102	190.9230
191.0910	0.0102	187.8520
191.1410	0.0102	187.8520
191.1910	0.0102	187.8520
191.2410	0.0102	187.8520
191.2910	0.0102	187.8520
191.3410	0.0102	222.1180
191.3910	0.0078	228.2830
191.4410	0.0061	228.2830
191.4910	0.0061	228.2830
191.5410	0.0061	228.2830
191.5910	0.0061	228.1070
191.6410	0.0061	227.4320
191.6910	0.0061	224.9860
191.7410	0.0061	223.8780
191.7910	0.0061	222.9190
191.8410	0.0061	222.5800
191.8910	0.0061	222.4820
191.9410	0.0061	222.3850
191.9910	0.0061	222.2870
192.0410	0.0061	222.1610
192.0910	0.0061	222.0210
192.1410	0.0061	221.8800
192.1910	0.0061	221.7390
192.2410	0.0061	221.1890
192.2910	0.0061	220.9400
192.3410	0.0061	218.8790
192.3910	0.0062	211.4050
192.4410	0.0070	195.8550
192.4910	0.0074	193.0560
192.5410	0.0082	191.9490
192.5910	0.0082	191.8330
192.6410	0.0082	191.7220
192.6910	0.0082	191.3850
192.7410	0.0082	189.4180
192.7910	0.0082	189.4180
192.8410	0.0085	188.4220
192.8910	0.0096	184.3190
192.9410	0.0098	184.3190
192.9910	0.0099	184.3190
193.0410	0.0099	184.3190
193.0910	0.0099	184.5480
193.1410	0.0099	196.1870
193.1910	0.0099	207.8260
193.2410	0.0074	215.1820
193.2910	0.0074	215.1820
193.3410	0.0074	219.5010
193.3910	0.0074	219.5010
193.4410	0.0074	219.5010
193.4910	0.0074	219.5010
193.5410	0.0070	216.5380
193.5910	0.0070	216.5380
193.6410	0.0070	216.5380
193.6910	0.0069	216.5380
193.7410	0.0069	216.5380
193.7910	0.0069	216.5380
193.8410	0.0069	216.5380
193.8910	0.0091	210.8080
193.9410	0.0101	208.4120
193.9910	0.0101	208.4120
194.0410	0.0103	208.1020
194.0910	0.0103	206.8140
194.1410	0.0103	203.4730
194.1910	0.0103	202.0480
194.2410	0.0103	199.3590
194.2910	0.0103	199.3590
194.3410	0.0102	199.3590
194.3910	0.0097	199.3590
194.4410	0.0097	199.3590
194.4910	0.0097	199.3590
194.5410	0.0097	199.3590
194.5910	0.0113	211.1880
194.6410	0.0113	212.5340
194.6910	0.0113	213.8800
194.7410	0.0113	215.2260
194.7910	0.0112	216.5730
194.8410	0.0110	217.9190
194.8910	0.0109	219.2650
194.9410	0.0107	220.6110
194.9910	0.0105	221.9570
195.0410	0.0104	223.3040
195.0910	0.0103	224.0240
195.1410	0.0103	224.0240
195.1910	0.0103	224.0240
195.2410	0.0103	224.0240
195.2910	0.0103	223.8560
195.3410	0.0102	223.3950
195.3910	0.0102	223.3630
195.4410	0.0102	223.3300
195.4910	0.0102	223.3090
195.5410	0.0102	223.3090
195.5910	0.0102	223.3090
195.6410	0.0102	218.8360
195.6910	0.0102	217.4730
195.7410	0.0102	216.2690
195.7910	0.0102	216.0890
195.8410	0.0102	192.6640
195.8910	0.0099	178.9930
195.9410	0.0097	178.9930
195.9910	0.0093	178.9930
196.0410	0.0087	178.9930
196.0910	0.0083	180.7930
196.1410	0.0082	180.7930
196.1910	0.0081	180.7930
196.2410	0.0081	183.0060
196.2910	0.0081	183.0700
196.3410	0.0081	183.0700
196.3910	0.0081	183.0700
196.4410	0.0081	183.0700
196.4910	0.0081	183.0700
196.5410	0.0081	183.0700
196.5910	0.0081	183.0700
196.6410	0.0081	184.2310
196.6910	0.0083	184.3020
196.7410	0.0085	188.2680
196.7910	0.0085	199.5440
196.8410	0.0085	200.7250
196.8910	0.0085	205.9430
196.9410	0.0069	206.1370
